CBD,LAT,LON,THK,SRF
420,-69.7532,151.3935,632,1192
421,-69.7298,151.3716,1520,1217
422,-69.705,151.3497,1166,1201
423,-69.68021,151.3251,1248,1186
424,-69.6581,151.3019,1626,1166
425,-69.6347,151.2814,1658,1150
426,-69.61259,151.2596,1509,1125
427,-69.5878,151.2377,1535,1106
428,-69.5658,151.2117,1486,1094
429,-69.5437,151.183,1473,1076
430,-69.51891,151.1543,2188,1063
431,-69.4955,151.1311,2365,1065
432,-69.472,151.1065,2420,1061
433,-69.45,151.0818,2388,1036
434,-69.42931,151.0573,2453,1028
435,-69.4072,151.0368,2271,1005
436,-69.3838,151.0135,2233,1011
437,-69.3618,150.9904,2125,989
438,-69.33971,150.9657,2055,985
439,-69.3163,150.9439,2029,957
440,-69.297,150.9261,2146,913
441,-69.27631,150.907,2342,898
442,-69.2556,150.8824,2285,891
443,-69.2377,150.8455,2254,930
444,-69.22391,150.8004,2116,926
445,-69.2128,150.7512,1957,933
446,-69.20171,150.7006,1921,937
447,-69.19209,150.6445,1894,958
448,-69.1824,150.5898,1948,970
449,-69.1713,150.5392,2063,992
450,-69.16161,150.4886,2088,995
451,-69.1506,150.4394,2256,997
452,-69.1395,150.3902,2362,1014
453,-69.1312,150.3409,938,1034
454,-69.1201,150.2889,2611,1031
455,-69.1091,150.2398,2497,1029
456,-69.09801,150.185,2375,1011
457,-69.0883,150.1372,2315,1015
458,-69.0787,150.0866,2057,1032
459,-69.0676,150.0415,2103,1028
460,-69.05791,149.9937,1976,1024
461,-69.0482,149.9458,1968,1022
462,-69.0372,149.8966,1952,1020
463,-69.02609,149.8488,1946,1025
464,-69.0164,149.8009,1874,1029
465,-69.0054,149.7503,1885,1022
466,-68.99429,149.7038,1861,1037
467,-68.9832,149.6546,1787,1028
468,-68.9736,149.6081,1748,1034
469,-68.96249,149.5617,1685,1035
470,-68.95419,149.5152,1612,1042
471,-68.9431,149.4687,1609,1041
472,-68.9321,149.4222,1580,1045
473,-68.92239,149.3716,1544,1044
474,-68.9113,149.3183,1472,1047
475,-68.9017,149.2705,1309,1040
476,-68.89059,149.2226,1172,1040
477,-68.88091,149.1761,1129,1037
478,-68.8712,149.1269,1027,1029
479,-68.8602,149.0818,1137,1023
480,-68.85049,149.0354,1091,1013
481,-68.8394,148.9861,1055,1000
482,-68.8284,148.9382,1017,973
483,-68.81731,148.8849,1015,964
484,-68.8076,148.8385,898,927
485,-68.7979,148.7892,831,908
486,-68.7869,148.7455,917,896
487,-68.77721,148.699,880,891
488,-68.7675,148.6484,867,878
489,-68.7565,148.602,1033,862
490,-68.7468,148.5555,1121,846
491,-68.7357,148.5076,1203,839
492,-68.7233,148.4584,1053,806
493,-68.71359,148.4092,1035,787
494,-68.70261,148.3669,1054,772
495,-68.6929,148.3176,1068,763
496,-68.68179,148.2739,1062,746
497,-68.67081,148.2274,1067,730
498,-68.6611,148.1823,1090,723
499,-68.64999,148.14,1101,710
500,-68.6403,148.0907,1098,693
501,-68.63071,148.0443,1053,691
502,-68.61819,148.0005,1002,678
503,-68.6086,147.9513,1053,677
504,-68.59891,147.9089,1025,677
505,-68.5878,147.8652,1012,685
506,-68.5768,147.8201,959,677
507,-68.56709,147.7723,917,669
508,-68.556,147.7299,963,648
509,-68.5477,147.6889,949,656
510,-68.53529,147.6342,1001,653
511,-68.5256,147.5905,963,622
512,-68.5159,147.5468,924,590
513,-68.5062,147.5003,930,548
514,-68.4966,147.458,665,514
515,-68.4841,147.4115,724,501
516,-68.4745,147.3678,841,481
517,-68.46339,147.3254,832,458
518,-68.451,147.283,829,426
519,-68.43851,147.2379,944,417
520,-68.42746,147.1945,897,399
521,-68.41641,147.1511,850,380
522,-68.40535,147.1077,802,362
523,-68.3943,147.0643,755,343
524,-68.38293,147.0223,805,357
525,-68.37155,146.9803,855,372
526,-68.36018,146.9383,905,386
527,-68.3488,146.8963,955,400
528,-68.33501,146.8498,1153,402
529,-68.3239,146.806,917,394
530,-68.31149,146.7637,750,301
531,-68.3004,146.7213,844,251
532,-68.2894,146.6789,728,304
533,-68.2756,146.6352,765,427
534,-68.2659,146.5915,857,367
535,-68.2562,146.545,1099,420
536,-68.2451,146.5013,1043,430
537,-68.23406,146.45538,993,473
538,-68.22302,146.40946,943,516
539,-68.21198,146.36354,893,558
540,-68.20094,146.31762,843,601
541,-68.1899,146.2717,793,644
542,-68.1788,146.2252,695,635
543,-68.1678,146.1801,672,711
544,-68.1568,146.135,735,762
545,-68.14571,146.0899,736,765
546,-68.1333,146.038,780,828
547,-68.1223,145.9942,817,836
548,-68.11121,145.9464,784,848
549,-68.0988,145.9054,853,854
550,-68.0891,145.8575,859,848
551,-68.07671,145.8152,1050,821
552,-68.0656,145.7701,933,759
553,-68.0546,145.7236,870,769
554,-68.04221,145.6785,1037,742
555,-68.0311,145.6279,1192,745
556,-68.0201,145.5869,941,751
557,-68.009,145.5446,983,743
558,-67.9966,145.5008,846,718
559,-67.9855,145.4571,923,704
560,-67.9745,145.412,805,731
561,-67.96339,145.3683,795,744
562,-67.951,145.3245,781,661
