CBD,LAT,LON,ICE,SFC
262,-79.063797,165.735794,492,53
262.25,-79.043304,165.753494,504,54
262.5,-79.021393,165.761597,507,59
262.75,-78.998199,165.778,518,63
263,-78.976303,165.797104,524,70
263.25,-78.954498,165.807999,527,68
263.5,-78.929901,165.820297,528,80
263.75,-78.906693,165.834,537,98
264,-78.884796,165.844803,539,129
264.25,-78.860199,165.862595,551,159
264.5,-78.835602,165.878998,544,193
264.75,-78.812393,165.892593,548,223
265,-78.7892,165.913101,550,247
265.25,-78.768707,165.921097,561,252
265.5,-78.746796,165.936096,563,253
265.75,-78.722198,165.953796,579,257
266,-78.699005,165.966095,584,262
266.25,-78.675797,165.976898,596,258
266.5,-78.6539,165.986404,617,250
266.75,-78.630707,165.998596,621,252
267,-78.604706,166.006699,512,267
267.25,-78.582794,166.018906,383,393
267.5,-78.559601,166.013199,10,575
267.75,-78.536301,165.993805,10,632
268,-78.514496,165.973007,10,481
268.25,-78.491196,165.952194,11,270
268.5,-78.466599,165.936905,11,178
268.75,-78.444702,165.914703,10,190
269,-78.422806,165.897995,10,188
269.25,-78.398193,165.880005,10,182
269.5,-78.375,165.863297,10,166
269.75,-78.3517,165.848007,10,163
270,-78.331207,165.816101,10,165
270.25,-78.310699,165.780106,11,164
270.5,-78.288803,165.744202,10,168
270.75,-78.268295,165.712296,10,169
271,-78.247803,165.684601,10,172
271.25,-78.224594,165.655502,10,167
271.5,-78.199905,165.619507,11,621
271.75,-78.180801,165.586304,0,810
272,-78.161697,165.546097,10,927
272.25,-78.142502,165.508698,10,561
272.5,-78.123398,165.490494,10,381
272.75,-78.106995,165.4655,11,254
273,-78.089203,165.448593,10,146
273.25,-78.072906,165.446899,10,115
273.5,-78.055099,165.442398,11,95
273.75,-78.037399,165.442093,10,80
274,-78.0224,165.444397,10,63
274.25,-78.008804,165.449493,11,46
