CBD,LAT,LON,ICE,SFC
77.5,-80.802597,152.122101,1530,1512
77.75,-80.792999,152.004501,1302,1536
78,-80.783493,151.886902,1515,1579
78.25,-80.775299,151.769196,1407,1614
78.5,-80.765793,151.662506,1414,1641
78.75,-80.757599,151.547607,1404,1652
79,-80.745407,151.427094,1599,1664
79.25,-80.734406,151.309402,1625,1692
79.5,-80.726303,151.183594,1754,1715
79.75,-80.727798,151.052505,1654,1746
80,-80.7388,150.951797,1790,1760
80.25,-80.749893,150.839996,1557,1784
80.5,-80.759506,150.7379,1744,1795
80.75,-80.770599,150.620697,1917,1811
81,-80.781601,150.5103,1777,1822
81.25,-80.794098,150.394501,1906,1834
81.5,-80.805099,150.286896,2118,1843
81.75,-80.816193,150.168304,2097,1844
82,-80.827301,150.051102,1918,1851
82.25,-80.838303,149.942093,1781,1861
82.5,-80.849396,149.830399,1718,1878
82.75,-80.861801,149.711807,1663,1896
83,-80.872803,149.601395,1607,1909
83.25,-80.883896,149.4814,1830,1921
83.5,-80.899094,149.354706,1924,1920
83.75,-80.907394,149.2388,1981,1926
84,-80.9198,149.127106,2046,1937
84.5,-80.941895,148.889801,2316,2037
85.25,-80.972397,148.536697,1925,2025
85.5,-80.980698,148.416702,2050,2023
85.75,-80.994507,148.285706,1896,2045
86,-81.002808,148.165695,2022,2048
86.25,-81.015198,148.041595,2145,2076
86.5,-81.026199,147.917496,2104,2068
86.75,-81.0345,147.800201,2153,2072
87,-81.045593,147.676102,2099,2073
87.25,-81.056702,147.552002,1917,2094
87.5,-81.066299,147.4319,2068,2117
87.75,-81.078796,147.309204,2300,2131
88,-81.088394,147.176804,2340,2133
88.25,-81.100906,147.043106,2437,2140
88.5,-81.110504,146.916199,2336,2144
88.75,-81.120193,146.785202,2446,2159
89,-81.134003,146.658401,2508,2171
89.25,-81.145096,146.528702,2748,2180
89.5,-81.154694,146.3936,2712,2165
89.75,-81.165802,146.272095,2450,2154
90,-81.175507,146.141098,2478,2144
90.25,-81.189301,145.997803,2314,2152
90.5,-81.198898,145.865402,2468,2159
90.75,-81.208603,145.727493,2537,2165
91,-81.220993,145.5952,2481,2165
91.25,-81.232101,145.451797,2419,2164
91.5,-81.241806,145.315201,2176,2175
91.75,-81.252808,145.181503,2353,2192
92,-81.261093,145.044907,2532,2210
92.25,-81.273499,144.896103,2531,2226
92.5,-81.284607,144.756897,2363,2245
92.75,-81.294205,144.631195,2535,2260
93,-81.303894,144.492004,2590,2270
93.25,-81.315002,144.359604,2499,2276
93.5,-81.323303,144.218903,2439,2284
93.75,-81.334305,144.082397,2490,2291
94,-81.345306,143.937607,2374,2297
94.25,-81.3564,143.796997,2419,2297
94.5,-81.3647,143.638397,2355,2301
94.75,-81.375702,143.503296,2418,2303
95,-81.384003,143.354294,2401,2311
95.25,-81.395096,143.221893,2515,2317
95.5,-81.404694,143.075699,2539,2300
95.75,-81.414398,142.923996,2419,2288
96,-81.421295,142.777802,2310,2294
96.25,-81.431,142.634399,2429,2318
96.5,-81.442001,142.485504,2435,2336
96.75,-81.448898,142.326904,2577,2326
97,-81.460007,142.173904,2537,2324
97.25,-81.469696,142.027695,2413,2316
97.5,-81.479294,141.870499,2460,2319
97.75,-81.487595,141.714706,2425,2319
98,-81.497299,141.560303,2457,2325
98.25,-81.506897,141.400299,2456,2337
98.5,-81.515198,141.252701,2485,2349
98.75,-81.523499,141.101105,2694,2365
108.75,-81.814896,134.349701,1988,2597
109,-81.819107,134.169006,1988,2599
109.25,-81.823196,133.992493,1959,2607
109.5,-81.828705,133.811798,1935,2626
109.75,-81.831497,133.642197,2187,2641
110,-81.837097,133.465607,2127,2653
110.25,-81.839798,133.271194,2128,2657
110.5,-81.843994,133.087799,2174,2656
110.75,-81.849503,132.907104,2130,2660
111,-81.852203,132.729202,2120,2667
111.25,-81.8564,132.5513,2118,2677
111.5,-81.860504,132.363693,2226,2683
111.75,-81.8647,132.180298,2033,2684
112,-81.867401,132.0065,2142,2689
112.25,-81.870193,131.827103,2255,2692
112.5,-81.874298,131.643707,2253,2694
112.75,-81.879807,131.452103,2135,2702
113,-81.882599,131.281006,2060,2713
113.25,-81.888107,131.093399,2089,2733
113.5,-81.8909,130.914093,2402,2739
113.75,-81.892303,130.743103,2677,2746
114,-81.895004,130.554092,2780,2743
114.25,-81.901901,130.378998,2749,2744
114.5,-81.903305,130.194107,2776,2741
114.75,-81.907394,129.998398,2785,2737
115,-81.908798,129.819,2741,2736
115.25,-81.912903,129.638306,2784,2740
115.5,-81.914307,129.453506,2786,2742
115.75,-81.918503,129.281097,2745,2751
116,-81.921204,129.103104,2742,2748
116.25,-81.923996,128.927902,2706,2749
116.5,-81.925293,128.745804,2752,2746
116.75,-81.928101,128.572006,2781,2751
117,-81.932205,128.372101,2717,2752
117.25,-81.934998,128.191406,2764,2751
117.5,-81.937698,128.009293,2708,2752
117.75,-81.940506,127.835495,2738,2757
118,-81.941803,127.651993,2737,2758
118.25,-81.943207,127.483704,2716,2760
118.5,-81.947296,127.309906,2682,2758
118.75,-81.950104,127.131897,2629,2765
119,-81.951401,126.956696,2705,2768
119.25,-81.954193,126.752701,2649,2774
119.5,-81.956894,126.577499,2690,2774
119.75,-81.956894,126.395401,2779,2776
120,-81.952805,126.229706,2779,2780
120.25,-81.940399,126.078995,2656,2785
120.5,-81.923904,125.965302,2618,2784
120.75,-81.901901,125.927094,2588,2787
121,-81.878494,125.954697,2595,2782
121.25,-81.859207,126.003006,2642,2779
121.5,-81.834396,125.998993,2565,2775
121.75,-81.811096,125.947098,2525,2781
122.25,-81.782196,125.7061,2621,2777
122.5,-81.773895,125.554092,2496,2785
122.75,-81.766998,125.380203,2475,2791
123,-81.755997,125.231003,2561,2794
123.25,-81.744995,125.095505,2370,2799
123.5,-81.729904,124.981796,2334,2802
123.75,-81.712006,124.862793,2410,2803
124,-81.691406,124.762802,2400,2806
124.25,-81.673492,124.658798,2353,2812
124.5,-81.655594,124.556198,2347,2820
124.75,-81.639099,124.459106,2353,2822
125,-81.619797,124.350998,2406,2822
125.25,-81.603302,124.253799,2427,2821
125.5,-81.585403,124.151306,2551,2823
125.75,-81.566193,124.055496,2518,2824
126,-81.545502,123.944702,2635,2825
126.25,-81.526306,123.855698,2503,2830
126.5,-81.508408,123.755905,2412,2834
126.75,-81.489105,123.662903,2344,2834
127,-81.471207,123.571304,2429,2833
127.25,-81.451996,123.481094,2417,2830
127.5,-81.432693,123.3936,2374,2831
127.75,-81.414795,123.293793,2424,2833
128,-81.395493,123.209106,2395,2839
128.25,-81.376297,123.110703,2372,2846
128.5,-81.355606,123.013596,2465,2853
128.75,-81.337708,122.932999,2455,2859
129,-81.319901,122.834595,2543,2860
129.25,-81.301895,122.736206,2536,2859
129.5,-81.290894,122.6008,2544,2859
129.75,-81.293594,122.468201,2483,2860
130,-81.301804,122.324799,2478,2863
130.25,-81.316895,122.210098,2414,2864
130.5,-81.333298,122.074905,2430,2870
130.75,-81.347,121.958893,2449,2872
131,-81.362106,121.842896,2480,2876
131.25,-81.374405,121.718597,2527,2874
131.5,-81.389496,121.597198,2523,2875
131.75,-81.401794,121.479706,2502,2875
132,-81.416901,121.341797,2580,2881
132.25,-81.430603,121.218903,2649,2884
132.5,-81.444199,121.100098,2581,2886
132.75,-81.460693,120.955307,2494,2888
133,-81.474396,120.839294,2582,2892
133.25,-81.488098,120.712296,2584,2899
133.5,-81.500397,120.592102,2601,2897
133.75,-81.518204,120.459595,2579,2897
134,-81.529099,120.340897,2568,2894
134.25,-81.544205,120.220703,2545,2896
134.5,-81.559204,120.102005,2482,2900
134.75,-81.571594,119.966797,2415,2901
135,-81.586594,119.839798,2376,2902
135.25,-81.6017,119.712708,2482,2901
135.5,-81.613998,119.602203,2526,2901
135.75,-81.628998,119.4711,2419,2901
136,-81.6427,119.3591,2508,2905
136.25,-81.656403,119.237701,2553,2909
136.5,-81.668701,119.107895,2682,2913
136.75,-81.682404,118.987793,2692,2910
137,-81.694702,118.859299,2431,2905
137.25,-81.709702,118.726898,2423,2900
137.5,-81.722,118.597107,2498,2908
137.75,-81.739807,118.498993,2543,2911
138,-81.757599,118.398102,2533,2917
138.25,-81.772705,118.290298,2569,2913
138.5,-81.791901,118.189301,2622,2919
138.75,-81.8069,118.080093,2548,2923
139,-81.826096,117.977905,2682,2924
139.25,-81.842499,117.876907,2621,2922
139.5,-81.860306,117.764999,2489,2918
139.75,-81.879501,117.654495,2452,2923
140,-81.894501,117.538406,2365,2923
140.25,-81.906799,117.399094,2365,2925
140.5,-81.919098,117.270798,2387,2928
140.75,-81.931396,117.132706,2406,2929
141,-81.940994,117.001602,2433,2934
141.25,-81.953293,116.866302,2519,2931
141.5,-81.965607,116.732407,2464,2938
141.75,-81.980606,116.599899,2554,2944
142,-81.990204,116.463303,2579,2952
142.25,-81.999695,116.323898,2686,2958
142.5,-82.011993,116.180405,2732,2960
142.75,-82.020203,116.036896,2751,2963
143,-82.029694,115.893494,2778,2966
143.25,-82.039307,115.752808,2772,2963
143.5,-82.048798,115.606506,2852,2968
143.75,-82.057007,115.464401,2874,2966
144,-82.067902,115.305801,2815,2973
144.25,-82.073303,115.177399,2608,2968
144.5,-82.081497,115.037994,2479,2966
144.75,-82.088303,114.898697,2474,2965
145,-82.096497,114.746902,2081,2964
145.25,-82.104706,114.598007,2047,2972
145.5,-82.111496,114.451706,2483,2977
145.75,-82.119598,114.309601,2560,2987
146,-82.127808,114.156494,2643,2989
146.25,-82.134598,114.007599,2566,2989
146.5,-82.142807,113.855896,2436,2988
146.75,-82.150894,113.705597,2282,2990
147,-82.159103,113.559296,2009,3003
147.25,-82.168701,113.4021,1696,3015
147.5,-82.1754,113.265503,1745,3022
147.75,-82.180893,113.122101,1827,3021
148,-82.191803,112.997803,2119,3026
148.25,-82.205399,112.903702,2278,3028
148.5,-82.228699,112.8741,2216,3032
148.75,-82.250595,112.921204,2159,3035
149,-82.269699,112.998596,1965,3036
149.25,-82.290298,113.069,2011,3035
149.5,-82.310806,113.153198,1995,3031
149.75,-82.332703,113.225006,2149,3030
150,-82.354599,113.3078,2043,3027
150.25,-82.372299,113.380997,1935,3021
150.5,-82.394196,113.460999,2156,3017
150.75,-82.417496,113.5466,2080,3013
151,-82.438004,113.628006,2026,3009
151.25,-82.458496,113.7052,2226,2999
151.5,-82.480392,113.783905,2155,2990
151.75,-82.5009,113.863907,2172,2988
152,-82.518707,113.939697,2250,2988
152.25,-82.540604,114.032104,2439,2993
152.5,-82.561096,114.106598,2543,2995
152.75,-82.581696,114.196106,2441,2998
153,-82.603607,114.277496,2461,2992
153.25,-82.6241,114.356094,2338,2988
153.5,-82.643204,114.441498,2555,2984
153.75,-82.6651,114.526901,2746,2985
154,-82.686996,114.609604,2771,2985
154.25,-82.706207,114.696396,2816,2984
154.5,-82.728104,114.780304,2794,2983
