CBD,LAT,LON,THK,SRF
831,-76.2505,-116.2626,2375,1566
832,-76.24049,-116.2243,2539,1582
833,-76.2305,-116.1844,2704,1553
834,-76.2189,-116.1428,2868,1524
835,-76.2139,-116.1045,2689,1479
836,-76.20219,-116.0645,2414,1490
837,-76.19389,-116.0213,2139,1493
838,-76.18559,-115.9813,1864,1484
839,-76.1756,-115.9414,1614,1465
840,-76.1673,-115.8897,1405,1442
841,-76.159,-115.8431,1306,1431
842,-76.149,-115.8015,1833,1421
843,-76.13901,-115.7449,1590,1413
844,-76.129,-115.6966,1354,1393
845,-76.11909,-115.6467,1301,1376
846,-76.1057,-115.5883,1065,1358
847,-76.09911,-115.5317,2097,1346
848,-76.08749,-115.4868,1608,1336
849,-76.07249,-115.4251,1118,1336
850,-76.06081,-115.3835,1194,1340
851,-76.0475,-115.3318,1643,1337
852,-76.03419,-115.2786,1542,1326
853,-76.02251,-115.2352,1442,1314
854,-76.01089,-115.192,1341,1307
855,-75.9926,-115.1503,1395,1301
856,-75.97929,-115.1086,1807,1295
857,-75.96761,-115.0654,1476,1286
858,-75.951,-115.0287,806,1292
859,-75.936,-114.992,532,1296
860,-75.92261,-114.9587,863,1290
861,-75.90269,-114.9237,796,1278
862,-75.8894,-114.8954,729,1270
863,-75.87601,-114.8704,662,1340
864,-75.86099,-114.8388,595,1376
865,-75.8461,-114.8037,528,1330
866,-75.8344,-114.7588,461,1228
867,-75.82941,-114.6922,394,1170
868,-75.83279,-114.6306,660,1182
869,-75.8428,-114.5842,963,1196
870,-75.86279,-114.5561,1274,1205
871,-75.87621,-114.5363,1259,1223
872,-75.8895,-114.5198,1565,1240
873,-75.9095,-114.4968,2360,1257
874,-75.9245,-114.4736,2346,1264
875,-75.94119,-114.4605,2332,1265
876,-75.9595,-114.4375,2437,1260
877,-75.9762,-114.4161,2488,1254
878,-75.9912,-114.3963,2390,1248
879,-76.0096,-114.3649,2291,1244
880,-76.0229,-114.3434,2759,1243
881,-76.0379,-114.3186,3214,1247
882,-76.0546,-114.2922,1890,1253
883,-76.0696,-114.2624,1976,1259
884,-76.0829,-114.2393,2060,1262
885,-76.1013,-114.2196,2084,1261
886,-76.1163,-114.1948,2226,1258
887,-76.133,-114.1716,2626,1252
888,-76.1496,-114.1486,2663,1250
889,-76.16299,-114.1171,2614,1247
890,-76.1797,-114.0907,2667,1251
891,-76.1963,-114.066,2553,1256
892,-76.2097,-114.0412,2583,1260
893,-76.228,-114.0214,2536,1261
894,-76.243,-113.99,2535,1262
895,-76.2597,-113.9686,2417,1263
896,-76.2747,-113.9438,2334,1266
897,-76.29311,-113.919,2298,1267
898,-76.3064,-113.8876,2217,1268
899,-76.31979,-113.8578,2194,1270
900,-76.3381,-113.8281,2075,1275
901,-76.3515,-113.8017,1894,1283
902,-76.36639,-113.7719,1834,1293
903,-76.3848,-113.7405,1901,1305
904,-76.39819,-113.7191,1953,1317
905,-76.41319,-113.6893,2173,1331
906,-76.4315,-113.6696,2289,1341
907,-76.4465,-113.6498,2324,1346
908,-76.4632,-113.625,2338,1349
909,-76.4782,-113.6037,2353,1347
910,-76.49319,-113.5822,2417,1341
911,-76.5116,-113.5524,2597,1337
912,-76.5249,-113.526,2562,1331
913,-76.5432,-113.5013,2646,1326
914,-76.55659,-113.4748,2453,1326
915,-76.57159,-113.4518,2467,1323
916,-76.59,-113.4254,2671,1317
917,-76.605,-113.4056,2720,1304
918,-76.62,-113.3725,2792,1296
919,-76.63499,-113.3511,2776,1297
920,-76.64999,-113.3263,2836,1301
921,-76.6683,-113.2983,2923,1303
922,-76.6817,-113.2702,2940,1305
923,-76.69839,-113.2487,2957,1300
924,-76.71671,-113.2173,3048,1298
925,-76.7301,-113.1943,3039,1296
926,-76.74339,-113.1612,3042,1296
927,-76.7601,-113.1365,3023,1292
928,-76.7767,-113.1034,3023,1289
929,-76.7901,-113.0786,3012,1283
930,-76.8084,-113.0539,3002,1285
931,-76.82179,-113.0224,2991,1282
932,-76.8335,-112.9977,2980,1285
933,-76.8535,-112.9663,2969,1284
934,-76.86681,-112.9399,2959,1286
935,-76.88519,-112.9118,2948,1284
936,-76.8985,-112.8837,2794,1287
937,-76.9135,-112.8556,2639,1285
938,-76.9269,-112.8276,2485,1288
939,-76.94521,-112.8028,2534,1285
940,-76.9586,-112.7781,2556,1283
941,-76.97189,-112.75,2500,1284
942,-76.9903,-112.7169,2463,1284
943,-77.0036,-112.6871,2449,1280
944,-77.02029,-112.6625,2470,1276
945,-77.03371,-112.631,2495,1272
946,-77.05029,-112.6046,2432,1267
947,-77.06531,-112.5782,2568,1264
948,-77.0804,-112.5485,2596,1262
949,-77.0954,-112.5171,2689,1263
950,-77.1087,-112.4907,2835,1269
951,-77.12711,-112.4577,2843,1282
952,-77.1404,-112.4346,2850,1298
953,-77.1537,-112.4048,2858,1305
954,-77.17039,-112.3801,2866,1307
