CBD_New,LAT,LON,THK,SRF
167,-80.874298,176.846497,9999,9999
168,-80.894897,176.945404,9999,9999
169,-80.916901,177.038895,9999,9999
170,-80.938904,177.143295,9999,9999
171,-80.958099,177.232697,9999,9999
172,-80.978699,177.327499,9999,9999
173,-80.997894,177.423706,9999,9999
174,-81.019897,177.519897,9999,9999
175,-81.040497,177.616104,9999,9999
176,-81.061096,177.706894,9999,9999
177,-81.078903,177.804398,9999,9999
178,-81.102203,177.907501,9999,9999
179,-81.122803,178.005096,9999,9999
180,-81.143402,178.104004,9999,9999
181,-81.162598,178.197495,9999,9999
182,-81.183197,178.296494,9999,9999
183,-81.201096,178.385803,9999,9999
184,-81.223007,178.479202,9999,9999
185,-81.243607,178.557602,9999,9999
186,-81.265594,178.646896,9999,9999
187,-81.288895,178.748596,9999,9999
188,-81.309494,178.832397,9999,9999
189,-81.328796,178.9245,9999,9999
190,-81.349304,179.015198,9999,9999
191,-81.371307,179.1073,9999,9999
192,-81.390503,179.193893,9999,9999
193,-81.412506,179.285995,9999,9999
194,-81.433105,179.378098,9999,9999
195,-81.452301,179.4729,9999,9999
196,-81.475601,179.571899,9999,9999
197,-81.496201,179.666702,9999,9999
198,-81.5168,179.766998,9999,9999
199,-81.535995,179.8564,9999,9999
200,-81.556595,179.952606,9999,9999
201,-81.577194,-179.956696,9999,9999
202,-81.597794,-179.853607,9999,9999
203,-81.615601,-179.762894,9999,9999
204,-81.6362,-179.659805,9999,9999
205,-81.659607,-179.555405,9999,9999
206,-81.680099,-179.450897,9999,9999
207,-81.699402,-179.357498,9999,9999
208,-81.720001,-179.257095,9999,9999
209,-81.739197,-179.158096,9999,9999
210,-81.759796,-179.050903,9999,9999
211,-81.780304,-178.9561,9999,9999
212,-81.799606,-178.861298,9999,9999
213,-81.820206,-178.752701,9999,9999
214,-81.842102,-178.644104,9999,9999
215,-81.862701,-178.541107,9999,9999
216,-81.881897,-178.443497,9999,9999
217,-81.9039,-178.339005,9999,9999
218,-81.920395,-178.241394,9999,9999
219,-81.945099,-178.135605,9999,9999
220,-81.961502,-178.031204,9999,9999
221,-81.982101,-177.918503,9999,9999
222,-82.001404,-177.798904,9999,9999
223,-82.0233,-177.672394,9999,9999
224,-82.041199,-177.552795,9999,9999
225,-82.060394,-177.4319,9999,9999
226,-82.0755,-177.310898,9999,9999
227,-82.0961,-177.195496,9999,9999
228,-82.112503,-177.067703,9999,9999
229,-82.130402,-176.957703,9999,9999
230,-82.149597,-176.827103,9999,9999
231,-82.168793,-176.709,9999,9999
232,-82.189407,-176.564606,9999,9999
233,-82.207199,-176.446503,9999,9999
234,-82.225098,-176.320007,9999,9999
235,-82.242996,-176.193497,9999,9999
236,-82.263504,-176.065704,9999,9999
237,-82.281403,-175.931,9999,9999
238,-82.297897,-175.817001,9999,9999
239,-82.318405,-175.680893,9999,9999
240,-82.336304,-175.558594,9999,9999
241,-82.356903,-175.419693,9999,9999
242,-82.371994,-175.282303,9999,9999
243,-82.391205,-175.1586,9999,9999
244,-82.408997,-175.026596,9999,9999
245,-82.425507,-174.893295,9999,9999
246,-82.444702,-174.7668,9999,9999
247,-82.461197,-174.626694,9999,9999
248,-82.480392,-174.498795,9999,9999
249,-82.498199,-174.3573,9999,9999
250,-82.517502,-174.212997,9999,9999
251,-82.533905,-174.078293,9999,9999
252,-82.551804,-173.939407,9999,9999
253,-82.568207,-173.802002,9999,9999
254,-82.587402,-173.664597,9999,9999
255,-82.605301,-173.524399,9999,9999
