CBD,LAT,LON,THK,SRF
694,-66.64079,140.1453,151,100
694.5,-66.6456,140.1257,219,146
695,-66.65041,140.106,284,94
695.5,-66.65311,140.0897,324,215
696,-66.6559,140.0734,342,239
696.5,-66.66071,140.0564,361,279
697,-66.6655,140.0395,447,401
697.5,-66.6606,140.0238,579,412
698,-66.65581,140.0081,625,429
698.5,-66.65919,140.0157,767,447
699,-66.6626,140.0233,614,417
699.5,-66.66679,140.0012,450,472
700,-66.67101,139.979,797,530
700.5,-66.6759,139.9562,776,512
701,-66.6808,139.9334,674,546
701.5,-66.6844,139.9112,763,523
702,-66.6879,139.889,822,546
702.5,-66.69209,139.8668,837,533
703,-66.6964,139.8447,800,561
703.5,-66.70129,139.8205,851,571
704,-66.70621,139.7963,865,621
704.5,-66.7104,139.7741,822,591
705,-66.7146,139.7519,797,609
705.5,-66.7188,139.7304,825,623
706,-66.72301,139.709,876,651
706.5,-66.72659,139.6847,937,671
707,-66.7301,139.6605,905,685
707.5,-66.72749,139.6396,891,665
708,-66.72479,139.6187,797,621
708.5,-66.7153,139.6134,790,596
709,-66.7057,139.6081,778,557
709.5,-66.6989,139.6179,803,543
710,-66.692,139.6277,811,535
710.5,-66.6927,139.6492,811,538
711,-66.69341,139.6708,869,573
711.5,-66.7003,139.6801,865,549
712,-66.7072,139.6895,876,587
712.5,-66.7169,139.6797,904,561
713,-66.7265,139.67,965,619
713.5,-66.7348,139.6595,956,611
714,-66.7431,139.649,934,677
714.5,-66.7514,139.6385,909,696
715,-66.7598,139.6281,885,714
715.5,-66.7681,139.6176,982,744
716,-66.7764,139.6071,1040,738
716.5,-66.7854,139.5973,1043,754
717,-66.7944,139.5875,1018,757
717.5,-66.8033,139.5764,1001,755
718,-66.81239,139.5652,993,772
718.5,-66.8214,139.5555,1014,782
719,-66.8304,139.5457,1045,812
719.5,-66.83929,139.5345,1097,822
720,-66.8483,139.5234,1024,818
720.5,-66.8566,139.5129,1080,845
721,-66.8649,139.5025,1099,836
721.5,-66.87531,139.4913,1044,850
722,-66.8857,139.4802,1064,871
722.5,-66.894,139.469,1060,902
723,-66.9023,139.4579,1072,895
723.5,-66.9106,139.4474,1013,905
724,-66.9189,139.437,1068,946
724.5,-66.9272,139.4265,1045,971
725,-66.9355,139.416,1095,980
725.5,-66.9438,139.4069,1152,997
726,-66.95219,139.3978,1189,1029
726.5,-66.96111,139.3873,1133,1051
727,-66.97009,139.3768,1135,1046
727.5,-66.9798,139.3671,1178,1087
728,-66.9895,139.3573,1157,1048
728.5,-66.9984,139.3461,1097,1072
729,-67.0074,139.335,1181,1092
729.5,-67.0164,139.3259,1173,1116
730,-67.0255,139.3168,1221,1124
730.5,-67.0351,139.3043,1219,1149
731,-67.0448,139.2918,1292,1150
731.5,-67.0545,139.282,1220,1147
732,-67.06419,139.2722,1170,1162
732.5,-67.0732,139.2611,1170,1162
733,-67.0822,139.2499,1292,1198
733.5,-67.0919,139.2395,1286,1202
734,-67.1015,139.229,1212,1197
734.5,-67.1098,139.2185,1145,1224
735,-67.11819,139.2081,1214,1243
735.5,-67.12781,139.1989,1375,1268
736,-67.1375,139.1898,1360,1251
736.5,-67.14709,139.1774,1298,1279
737,-67.1568,139.1649,1447,1290
737.5,-67.1651,139.1537,1465,1309
738,-67.17349,139.1425,1512,1321
738.5,-67.1824,139.132,1582,1320
739,-67.1915,139.1216,1605,1357
739.5,-67.2018,139.1104,1563,1359
740,-67.2122,139.0993,1594,1371
740.5,-67.22189,139.0875,1578,1371
741,-67.2316,139.0756,1638,1368
741.5,-67.2406,139.0659,1432,1369
742,-67.2496,139.0561,1319,1410
742.5,-67.2592,139.0449,1461,1427
743,-67.26891,139.0338,1530,1425
743.5,-67.27789,139.0219,1486,1448
744,-67.2869,139.0101,1527,1439
744.5,-67.2959,139.001,1517,1461
745,-67.3049,138.9919,1443,1471
745.5,-67.3139,138.98,1526,1474
746,-67.3228,138.9682,1625,1496
746.5,-67.3318,138.957,1651,1469
747,-67.3409,138.9459,1553,1483
747.5,-67.35049,138.9354,1536,1495
748,-67.3602,138.925,1541,1491
748.5,-67.3692,138.9111,1518,1502
749,-67.3782,138.8972,1526,1522
749.5,-67.38721,138.8846,1609,1532
750,-67.39619,138.8721,1608,1512
750.5,-67.4052,138.8603,1566,1545
751,-67.4142,138.8485,1552,1535
751.5,-67.4239,138.8359,1597,1569
752,-67.43359,138.8234,1582,1540
752.5,-67.4425,138.8129,1642,1565
753,-67.45151,138.8024,1683,1558
753.5,-67.45979,138.7919,1710,1576
754,-67.4682,138.7815,1843,1582
754.5,-67.4772,138.7696,1655,1586
755,-67.48621,138.7578,1566,1589
755.5,-67.4944,138.7466,1588,1598
756,-67.5027,138.7355,1732,1641
756.5,-67.51241,138.7243,1742,1636
757,-67.52209,138.7132,1854,1620
757.5,-67.5311,138.7013,1948,1633
758,-67.5401,138.6895,1823,1642
758.5,-67.5498,138.6776,1830,1664
759,-67.55949,138.6658,1828,1651
759.5,-67.5685,138.6567,1713,1672
760,-67.5775,138.6476,1734,1655
760.5,-67.5864,138.6364,1770,1679
761,-67.5954,138.6253,1828,1675
761.5,-67.6051,138.6148,1845,1676
762,-67.61481,138.6044,1787,1677
762.5,-67.62379,138.5939,1700,1687
763,-67.6328,138.5834,1652,1706
763.5,-67.6424,138.5722,1710,1720
764,-67.6521,138.561,1726,1724
764.5,-67.6618,138.5513,1817,1727
765,-67.67149,138.5415,1808,1719
765.5,-67.6805,138.531,1638,1716
766,-67.6895,138.5205,1646,1742
766.5,-67.7005,138.508,1780,1762
767,-67.71159,138.4955,1848,1785
767.5,-67.72121,138.4843,1877,1777
768,-67.7309,138.4732,1886,1778
768.5,-67.7406,138.4641,1915,1787
769,-67.75031,138.455,2055,1790
769.5,-67.7599,138.4438,1975,1780
770,-67.76961,138.4327,1866,1792
770.5,-67.7793,138.4222,1843,1816
771,-67.789,138.4117,1951,1836
771.5,-67.798,138.3992,2081,1827
772,-67.80701,138.3867,2166,1847
772.5,-67.81731,138.3741,2089,1844
773,-67.8277,138.3616,2128,1832
773.5,-67.836,138.3518,2120,1840
774,-67.8443,138.342,2119,1824
774.5,-67.8533,138.3288,2118,1844
775,-67.8623,138.3156,2064,1841
775.5,-67.8727,138.301,2053,1859
776,-67.883,138.2864,1936,1867
776.5,-67.8913,138.2732,1914,1880
777,-67.8997,138.2599,1942,1873
777.5,-67.9086,138.2467,2007,1869
778,-67.9176,138.2335,2056,1924
778.5,-67.9267,138.2168,2080,1912
779,-67.9357,138.2002,2139,1911
779.5,-67.944,138.1842,2315,1902
780,-67.9523,138.1683,2388,1906
780.5,-67.9606,138.1523,2157,1929
781,-67.9689,138.1364,2068,1939
781.5,-67.97791,138.121,2019,1961
782,-67.98689,138.1058,2125,1967
782.5,-67.9959,138.0918,2213,1967
783,-68.0049,138.0779,2402,1965
783.5,-68.0132,138.0634,2395,1959
784,-68.0215,138.0488,2419,1963
784.5,-68.0312,138.0301,2379,1979
785,-68.04089,138.0114,2404,1994
785.5,-68.04919,137.9954,2477,1978
786,-68.0575,137.9794,2558,1976
786.5,-68.0659,137.9648,2535,1981
