CBD,LAT,LON,TCL,ICE
167,-79.741501,-179.751205,9999,9999
168,-79.752502,-179.631897,9999,9999
169,-79.7621,-179.512604,9999,9999
170,-79.771805,-179.393204,9999,9999
171,-79.782806,-179.278,9999,9999
172,-79.793793,-179.158707,9999,9999
173,-79.807602,-179.037994,9999,9999
174,-79.820007,-178.917297,9999,9999
175,-79.832306,-178.806198,9999,9999
176,-79.8461,-178.689697,9999,9999
177,-79.855804,-178.572998,9999,9999
178,-79.868103,-178.456497,9999,9999
179,-79.881897,-178.328903,9999,9999
180,-79.895706,-178.212296,9999,9999
181,-79.906693,-178.094406,9999,9999
182,-79.920502,-177.955902,9999,9999
183,-79.934204,-177.832397,9999,9999
184,-79.947998,-177.707596,9999,9999
185,-79.959,-177.5896,9999,9999
186,-79.971405,-177.459305,9999,9999
187,-79.983795,-177.335907,9999,9999
188,-79.994797,-177.215195,9999,9999
189,-80.007202,-177.084793,9999,9999
190,-80.018204,-176.944901,9999,9999
191,-80.031998,-176.813202,9999,9999
192,-80.045807,-176.681503,9999,9999
193,-80.056793,-176.565002,9999,9999
194,-80.067795,-176.430496,9999,9999
195,-80.0802,-176.304306,9999,9999
196,-80.091202,-176.176697,9999,9999
197,-80.104996,-176.049194,9999,9999
198,-80.117401,-175.920303,9999,9999
199,-80.128403,-175.796799,9999,9999
200,-80.142197,-175.662399,9999,9999
201,-80.155899,-175.527893,9999,9999
202,-80.167007,-175.403107,9999,9999
203,-80.177994,-175.274094,9999,9999
204,-80.188995,-175.145203,9999,9999
205,-80.199997,-175.006607,9999,9999
206,-80.211105,-174.877701,9999,9999
207,-80.220703,-174.741806,9999,9999
208,-80.229004,-174.594894,9999,9999
209,-80.240005,-174.455002,9999,9999
210,-80.252396,-174.317795,9999,9999
211,-80.260696,-174.1875,9999,9999
212,-80.268997,-174.050201,9999,9999
213,-80.2827,-173.918503,9999,9999
214,-80.292404,-173.779907,9999,9999
215,-80.302002,-173.652298,9999,9999
216,-80.313095,-173.513794,9999,9999
217,-80.320007,-173.376495,9999,9999
218,-80.328201,-173.228302,9999,9999
219,-80.339203,-173.093903,9999,9999
220,-80.347504,-172.955307,9999,9999
221,-80.358597,-172.815308,9999,9999
222,-80.368195,-172.676697,9999,9999
223,-80.379196,-172.546402,9999,9999
224,-80.387497,-172.406403,9999,9999
225,-80.398499,-172.270493,9999,9999
226,-80.406799,-172.125,9999,9999
227,-80.416504,-171.972702,9999,9999
228,-80.424805,-171.832703,9999,9999
229,-80.434402,-171.695496,9999,9999
230,-80.445404,-171.5569,9999,9999
231,-80.456497,-171.419693,9999,9999
232,-80.467499,-171.292099,9999,9999
233,-80.4785,-171.156296,9999,9999
234,-80.489502,-171.023193,9999,9999
235,-80.496399,-170.886002,9999,9999
236,-80.507507,-170.735001,9999,9999
237,-80.517105,-170.590897,9999,9999
238,-80.525406,-170.452301,9999,9999
239,-80.535004,-170.316406,9999,9999
240,-80.544693,-170.177795,9999,9999
241,-80.554398,-170.047501,9999,9999
242,-80.563995,-169.907501,9999,9999
243,-80.572296,-169.766098,9999,9999
244,-80.579193,-169.626099,9999,9999
245,-80.586105,-169.4655,9999,9999
246,-80.594406,-169.321396,9999,9999
247,-80.602707,-169.180099,9999,9999
248,-80.609604,-169.038696,9999,9999
249,-80.617905,-168.898605,9999,9999
250,-80.624802,-168.751801,9999,9999
251,-80.631699,-168.615906,9999,9999
252,-80.638596,-168.470398,9999,9999
253,-80.646896,-168.315308,9999,9999
254,-80.655197,-168.161499,9999,9999
255,-80.663406,-168.018799,9999,9999
256,-80.669006,-167.877396,9999,9999
257,-80.675903,-167.729095,9999,9999
258,-80.6828,-167.586304,9999,9999
259,-80.691101,-167.447693,9999,9999
260,-80.697998,-167.298096,9999,9999
261,-80.703506,-167.148407,9999,9999
262,-80.710403,-166.997406,9999,9999
263,-80.720093,-166.834106,9999,9999
264,-80.727005,-166.691299,9999,9999
265,-80.731201,-166.540298,9999,9999
266,-80.739395,-166.403,9999,9999
267,-80.746399,-166.254807,9999,9999
268,-80.753296,-166.103699,9999,9999
269,-80.758804,-165.959503,9999,9999
270,-80.767105,-165.811295,9999,9999
271,-80.772598,-165.661606,9999,9999
272,-80.779495,-165.498199,9999,9999
273,-80.786499,-165.352707,9999,9999
274,-80.792007,-165.204498,9999,9999
275,-80.797501,-165.053406,9999,9999
276,-80.805801,-164.899704,9999,9999
277,-80.811401,-164.751297,9999,9999
278,-80.816895,-164.607193,9999,9999
279,-80.823807,-164.458893,9999,9999
280,-80.832108,-164.309296,9999,9999
281,-80.837601,-164.149994,9999,9999
282,-80.841797,-164.000305,9999,9999
283,-80.847305,-163.835602,9999,9999
284,-80.854202,-163.683105,9999,9999
285,-80.859802,-163.533493,9999,9999
286,-80.865295,-163.385193,9999,9999
287,-80.872192,-163.234207,9999,9999
288,-80.877808,-163.080399,9999,9999
289,-80.886093,-162.916901,9999,9999
290,-80.893005,-162.764496,9999,9999
291,-80.898499,-162.619003,9999,9999
292,-80.904099,-162.468002,9999,9999
293,-80.909607,-162.311401,9999,9999
294,-80.9151,-162.1548,9999,9999
295,-80.919296,-161.998306,9999,9999
296,-80.923492,-161.847198,9999,9999
297,-80.929001,-161.690598,9999,9999
298,-80.934494,-161.523102,9999,9999
299,-80.938705,-161.380203,9999,9999
300,-80.944305,-161.218201,9999,9999
301,-80.948395,-161.065796,9999,9999
302,-80.953995,-160.905106,9999,9999
303,-80.958099,-160.752594,9999,9999
304,-80.963699,-160.600204,9999,9999
305,-80.966507,-160.449097,9999,9999
306,-80.970596,-160.285706,9999,9999
307,-80.974792,-160.112595,9999,9999
308,-80.980301,-159.958801,9999,9999
309,-80.981796,-159.807602,9999,9999
310,-80.985901,-159.651001,9999,9999
311,-80.988693,-159.491699,9999,9999
312,-80.994293,-159.335205,9999,9999
313,-80.998398,-159.179993,9999,9999
314,-81.002594,-159.022003,9999,9999
315,-81.008102,-158.873703,9999,9999
316,-81.010895,-158.699203,9999,9999
317,-81.015106,-158.544006,9999,9999
318,-81.019302,-158.387405,9999,9999
319,-81.024796,-158.232193,9999,9999
320,-81.027603,-158.071503,9999,9999
321,-81.030396,-157.916199,9999,9999
322,-81.034607,-157.761002,9999,9999
323,-81.037399,-157.602997,9999,9999
324,-81.041504,-157.443695,9999,9999
325,-81.047104,-157.2733,9999,9999
326,-81.051193,-157.112595,9999,9999
327,-81.054001,-156.965607,9999,9999
328,-81.055496,-156.806198,9999,9999
329,-81.055496,-156.639999,9999,9999
330,-81.058304,-156.486099,9999,9999
331,-81.058304,-156.324005,9999,9999
332,-81.061096,-156.177002,9999,9999
333,-81.062607,-156.010696,9999,9999
334,-81.062607,-155.834793,9999,9999
335,-81.062698,-155.678101,9999,9999
336,-81.065506,-155.516098,9999,9999
337,-81.068298,-155.356705,9999,9999
338,-81.069702,-155.199997,9999,9999
339,-81.071106,-155.0448,9999,9999
340,-81.072495,-154.884003,9999,9999
341,-81.074005,-154.725998,9999,9999
342,-81.074005,-154.570694,9999,9999
343,-81.075394,-154.398895,9999,9999
344,-81.076797,-154.236801,9999,9999
345,-81.076904,-154.077393,9999,9999
346,-81.076904,-153.924896,9999,9999
347,-81.0784,-153.764099,9999,9999
348,-81.076996,-153.610199,9999,9999
349,-81.078506,-153.452103,9999,9999
350,-81.079895,-153.295502,9999,9999
351,-81.082703,-153.131897,9999,9999
352,-81.081406,-152.960205,9999,9999
353,-81.085495,-152.8022,9999,9999
354,-81.085602,-152.644104,9999,9999
355,-81.085602,-152.497101,9999,9999
356,-81.085693,-152.344498,9999,9999
357,-81.085693,-152.182404,9999,9999
358,-81.0858,-152.0298,9999,9999
359,-81.0858,-151.869003,9999,9999
360,-81.085907,-151.716507,9999,9999
361,-81.085907,-151.5392,9999,9999
362,-81.085999,-151.386597,9999,9999
363,-81.085999,-151.233994,9999,9999
364,-81.085999,-151.078705,9999,9999
365,-81.083405,-150.9207,9999,9999
366,-81.080704,-150.772202,9999,9999
367,-81.080704,-150.616898,9999,9999
368,-81.082108,-150.458801,9999,9999
369,-81.079407,-150.2939,9999,9999
370,-81.080902,-150.126205,9999,9999
371,-81.080902,-149.970901,9999,9999
372,-81.079605,-149.811493,9999,9999
373,-81.078201,-149.664307,9999,9999
374,-81.078293,-149.502197,9999,9999
375,-81.076996,-149.344101,9999,9999
