CBD,LAT,LON,THK,SRF
0,-80.01221,-119.5277,2150,1512
1,-80.0033,-119.5112,2100,1496
2,-79.99229,-119.4871,2193,1514
3,-79.9827,-119.4403,2387,1498
4,-79.9758,-119.3578,2498,1551
5,-79.97031,-119.2754,2592,1569
6,-79.9614,-119.1813,2554,1493
7,-79.95309,-119.0823,2541,1467
8,-79.9442,-118.9683,2510,1479
9,-79.9353,-118.8701,2470,1500
10,-79.9277,-118.776,2537,1483
11,-79.9167,-118.6743,2540,1503
12,-79.90511,-118.5829,2551,1496
13,-79.89481,-118.4846,2546,1521
14,-79.88519,-118.3926,2509,1522
15,-79.8755,-118.2998,2485,1522
16,-79.86391,-118.2105,2592,1532
17,-79.85291,-118.1143,2581,1548
18,-79.8419,-118.0195,2556,1539
19,-79.83231,-117.9233,2576,1548
20,-79.8213,-117.8313,2522,1545
21,-79.8103,-117.7323,2545,1545
22,-79.8,-117.6402,2500,1576
23,-79.7897,-117.5482,2604,1610
24,-79.7787,-117.4575,2467,1617
25,-79.7663,-117.3668,2492,1638
26,-79.756,-117.2733,2461,1640
27,-79.7444,-117.1874,2462,1640
28,-79.7341,-117.0871,2558,1648
29,-79.7224,-116.9985,2601,1651
30,-79.7128,-116.9092,2640,1650
31,-79.70039,-116.8254,2658,1658
32,-79.6908,-116.7353,2645,1657
33,-79.67841,-116.6467,2614,1658
34,-79.66879,-116.556,2603,1669
35,-79.65781,-116.4633,2587,1667
36,-79.6468,-116.3808,2539,1671
37,-79.63651,-116.2935,2510,1673
38,-79.6255,-116.2008,2499,1683
39,-79.6152,-116.1128,2569,1705
40,-79.6049,-116.0277,2680,1691
41,-79.59331,-115.9397,2623,1702
42,-79.5816,-115.86,2662,1699
43,-79.5726,-115.7679,2846,1711
44,-79.5603,-115.6807,2831,1722
45,-79.5507,-115.6023,2941,1717
46,-79.539,-115.5233,3051,1717
47,-79.526,-115.4402,3124,1727
48,-79.51559,-115.3578,3059,1721
49,-79.50459,-115.2752,3174,1731
50,-79.4937,-115.1928,3196,1742
51,-79.4827,-115.1096,3218,1745
52,-79.47169,-115.0313,3240,1744
53,-79.46069,-114.9489,3262,1742
54,-79.44901,-114.8637,3284,1756
55,-79.43871,-114.7847,3306,1742
56,-79.4263,-114.7029,3328,1763
57,-79.416,-114.6266,3350,1749
58,-79.40511,-114.547,3372,1768
59,-79.3968,-114.47,3345,1778
60,-79.38451,-114.3931,3318,1772
61,-79.3735,-114.3147,3322,1783
62,-79.3625,-114.2336,3250,1780
63,-79.3522,-114.1532,3177,1788
64,-79.33839,-114.0763,3105,1777
65,-79.32739,-113.9958,3032,1789
66,-79.31779,-113.9162,3036,1801
67,-79.3069,-113.8378,3058,1803
68,-79.2972,-113.7588,3117,1791
69,-79.28419,-113.6777,3161,1811
70,-79.27251,-113.6035,3218,1798
71,-79.26151,-113.5211,3266,1814
72,-79.25191,-113.4469,3334,1810
73,-79.2388,-113.3727,3379,1807
74,-79.2272,-113.2902,3334,1808
75,-79.2162,-113.2119,3288,1806
76,-79.2038,-113.1431,3078,1821
77,-79.19209,-113.0669,3119,1809
78,-79.18111,-112.9906,3128,1823
79,-79.1722,-112.9075,3247,1830
80,-79.1591,-112.823,3225,1823
81,-79.1468,-112.7454,3235,1808
82,-79.13721,-112.6636,3198,1810
83,-79.1248,-112.5763,3206,1810
84,-79.1152,-112.498,3212,1807
85,-79.10561,-112.4149,3245,1820
86,-79.0946,-112.327,3270,1808
87,-79.0843,-112.2472,3296,1808
88,-79.07401,-112.1621,3321,1804
89,-79.06641,-112.07,3346,1805
90,-79.06641,-111.9676,3371,1811
91,-79.0733,-111.877,3397,1801
92,-79.08839,-111.7946,3422,1821
93,-79.1069,-111.7356,3447,1803
94,-79.1275,-111.704,3461,1803
95,-79.14951,-111.715,3300,1811
96,-79.168,-111.785,3138,1807
97,-79.1824,-111.8803,3254,1828
98,-79.19949,-111.9675,3371,1807
99,-79.2139,-112.0553,3487,1811
100,-79.22971,-112.1479,3523,1818
101,-79.2455,-112.2331,3559,1825
102,-79.26131,-112.3202,3486,1830
