CBD,LAT,LON,THK,SRF
4,-80.0103,-119.502197,9999,9999
8,-80.0103,-119.502396,9999,9999
12,-80.009003,-119.5,9999,9999
16,-80.009003,-119.500198,9999,9999
20,-80.009003,-119.503296,9999,9999
24,-80.009003,-119.503601,9999,9999
28,-80.006302,-119.501099,9999,9999
32,-80.006302,-119.501404,9999,9999
36,-80.006393,-119.501694,9999,9999
40,-80.006393,-119.501999,9999,9999
44,-80.006393,-119.502304,9999,9999
48,-80.006393,-119.506699,9999,9999
52,-80.0065,-119.511093,9999,9999
56,-80.0065,-119.511398,9999,9999
60,-80.0065,-119.511703,9999,9999
16,-80.009293,-119.517395,9999,9999
17,-80.009293,-119.519104,9999,9999
18,-80.010696,-119.522095,9999,9999
19,-80.010696,-119.520996,9999,9999
20,-80.014893,-119.526703,9999,9999
21,-80.014893,-119.526993,9999,9999
22,-80.016296,-119.527298,9999,9999
23,-80.016296,-119.5345,9999,9999
24,-80.016403,-119.537506,9999,9999
25,-80.0177,-119.540604,9999,9999
26,-80.017807,-119.540802,9999,9999
27,-80.019104,-119.543793,9999,9999
28,-80.019196,-119.544098,9999,9999
29,-80.019196,-119.544403,9999,9999
30,-80.019196,-119.544693,9999,9999
31,-80.017899,-119.536697,9999,9999
32,-80.015198,-119.537094,9999,9999
33,-80.009705,-119.523697,9999,9999
34,-80.001404,-119.506104,9999,9999
35,-79.990494,-119.4832,9999,9999
36,-79.978104,-119.465698,9999,9999
37,-79.967194,-119.488098,9999,9999
38,-79.964493,-119.570801,9999,9999
39,-79.981003,-119.635498,9999,9999
40,-79.997498,-119.591705,9999,9999
41,-80.009903,-119.520401,9999,9999
42,-80.023605,-119.439499,9999,9999
43,-80.038696,-119.404007,9999,9999
44,-80.057999,-119.409607,9999,9999
45,-80.073105,-119.462006,9999,9999
46,-80.084106,-119.551498,9999,9999
47,-80.084198,-119.657501,9999,9999
48,-80.081497,-119.762299,9999,9999
49,-80.069199,-119.850601,9999,9999
50,-80.055496,-119.929398,9999,9999
51,-80.044495,-120.023102,9999,9999
52,-80.035004,-120.104599,9999,9999
53,-80.019897,-120.175003,2448,1527
54,-80.004807,-120.2332,2562,1532
55,-79.988403,-120.274796,2603,1535
56,-79.970596,-120.328796,2505,1533
57,-79.955505,-120.385498,2435,1522
58,-79.936295,-120.434097,2369,1523
59,-79.9198,-120.483902,2274,1499
60,-79.9048,-120.539307,2303,1508
61,-79.888397,-120.598801,2290,1485
62,-79.871902,-120.6651,2259,1504
63,-79.859604,-120.743896,2523,1527
64,-79.845901,-120.808807,2368,1511
65,-79.832199,-120.884705,2202,1539
66,-79.817093,-120.949799,2253,1512
67,-79.802002,-121.013397,2302,1526
68,-79.787003,-121.083801,2312,1531
69,-79.776001,-121.145996,2405,1522
70,-79.759598,-121.213699,2245,1493
71,-79.744507,-121.282806,2244,1494
72,-79.728104,-121.338196,2258,1517
73,-79.714401,-121.390793,2345,1525
74,-79.697906,-121.4543,2476,1522
75,-79.684204,-121.522095,2540,1522
76,-79.669205,-121.582794,2601,1525
77,-79.655502,-121.665695,2612,1524
78,-79.643097,-121.741699,2489,1522
79,-79.633499,-121.818893,2466,1521
80,-79.621201,-121.904495,2433,1520
81,-79.607498,-121.9832,2401,1519
82,-79.5952,-122.057693,2456,1515
83,-79.581497,-122.123993,2410,1508
84,-79.566498,-122.208206,2441,1509
85,-79.554092,-122.255295,2429,1506
86,-79.539001,-122.328506,2478,1505
87,-79.528107,-122.400299,2413,1496
88,-79.515701,-122.484497,2386,1500
89,-79.504807,-122.564606,2378,1494
90,-79.493896,-122.655594,2439,1497
91,-79.481506,-122.727295,2564,1497
92,-79.470596,-122.811493,2581,1499
93,-79.458298,-122.891602,2389,1500
94,-79.444595,-122.968903,2223,1498
95,-79.430893,-123.035202,2163,1498
96,-79.417206,-123.106995,2170,1492
97,-79.4048,-123.174698,2216,1490
98,-79.389801,-123.240997,2283,1489
99,-79.376099,-123.320999,2310,1495
100,-79.367798,-123.391403,2354,1496
101,-79.352798,-123.460495,2463,1504
102,-79.3405,-123.550201,2492,1511
103,-79.328094,-123.626099,2404,1515
104,-79.314499,-123.697906,2412,1514
105,-79.302094,-123.764206,2353,1509
106,-79.287003,-123.824997,2230,1503
107,-79.272003,-123.895493,2333,1501
108,-79.258194,-123.953506,2321,1502
109,-79.244598,-124.0336,2175,1506
110,-79.230804,-124.105392,2238,1507
111,-79.217102,-124.184006,2228,1509
112,-79.202103,-124.259995,2184,1502
113,-79.186996,-124.334503,2257,1500
114,-79.173294,-124.4077,2262,1504
115,-79.158203,-124.475403,2248,1511
