CBD,LAT,LON,THK,SURF
1766,-79.5254,-111.2194,,1759
1767,-79.5304,-111.3162,,1758
1768,-79.5388,-111.3962,,1754
1769,-79.5489,-111.4912,,1752
1770,-79.5539,-111.5863,,1752
1771,-79.559,-111.673,,1750
1772,-79.5657,-111.7598,,1750
1773,-79.5741,-111.8547,,1751
1774,-79.5825,-111.9415,,1759
1775,-79.5842,-112.0249,,1773
1776,-79.5792,-112.1135,,1779
1777,-79.5659,-112.1553,,1770
1778,-79.5527,-112.1854,,1757
1779,-79.536,-112.2039,,1752
1780,-79.521,-112.2307,,1753
1781,-79.5077,-112.2643,,1759
1782,-79.4944,-112.2927,,1768
1783,-79.4811,-112.3262,,1771
1784,-79.4678,-112.353,,1770
1785,-79.4495,-112.3899,,1770
1786,-79.4345,-112.4201,,1771
1787,-79.4229,-112.4519,,1774
1788,-79.4062,-112.4904,,1773
1789,-79.3929,-112.5239,,1775
1790,-79.3796,-112.5574,,1778
1791,-79.363,-112.5859,,1780
1792,-79.35,-112.6227,,
1793,-79.3364,-112.6529,,1788
1794,-79.3214,-112.6847,,1791
1795,-79.3047,-112.7166,,1792
1796,-79.2914,-112.75,,1792
1797,-79.2781,-112.7769,,1793
1798,-79.2615,-112.8104,,1794
1799,-79.2482,-112.8405,,1794
1800,-79.2316,-112.879,,1797
1801,-79.2182,-112.9059,,1797
1802,-79.2033,-112.936,,1798
1803,-79.1883,-112.9745,,1789
1804,-79.1767,-113.0281,,1780
1805,-79.1734,-113.1098,,1777
1806,-79.1751,-113.21,,1785
1807,-79.1852,-113.2867,,1796
1808,-79.1919,-113.3784,3047,1801
1809,-79.1986,-113.4668,3068,1802
1810,-79.2053,-113.5535,3088,1797
1811,-79.212,-113.6336,3178,1791
1812,-79.2188,-113.7304,,1789
1813,-79.2255,-113.8153,,1786
1814,-79.2322,-113.9037,,1784
1815,-79.2373,-114.0005,,1783
1816,-79.2457,-114.0839,,1780
1817,-79.2507,-114.1724,,1776
1818,-79.2591,-114.2707,,1774
1819,-79.2624,-114.3474,,1772
1820,-79.2692,-114.4358,,1771
1821,-79.2776,-114.5276,,1770
1822,-79.2826,-114.621,,1762
1823,-79.2877,-114.7078,,1756
1824,-79.2944,-114.8012,,1753
1825,-79.3011,-114.8896,2695,1752
1826,-79.3045,-114.9714,2577,1749
1827,-79.3146,-115.0731,2532,1740
1828,-79.3179,-115.1615,2585,1733
1829,-79.3246,-115.2466,2589,1727
1830,-79.3297,-115.3434,2625,1722
1831,-79.3381,-115.4268,2750,1717
1832,-79.3448,-115.5185,2840,1712
1833,-79.3499,-115.6102,2860,1711
1834,-79.3566,-115.7037,2834,1714
1835,-79.36,-115.8005,2818,1714
1836,-79.3683,-115.8838,,1712
1837,-79.3734,-115.974,,1707
1838,-79.3801,-116.0557,,
1839,-79.3835,-116.1575,,1697
1840,-79.3919,-116.2492,,1696
1841,-79.3953,-116.3327,,1691
1842,-79.3987,-116.4295,,1682
1843,-79.4071,-116.5212,,1676
1844,-79.4138,-116.6147,,1668
1845,-79.4188,-116.7081,,1662
1846,-79.4256,-116.7948,,1662
1847,-79.4306,-116.89,,1659
1848,-79.4373,-116.9868,,1656
1849,-79.4407,-117.0752,,1653
1850,-79.4458,-117.157,,1650
1851,-79.4525,-117.2588,,1646
1852,-79.4559,-117.3472,3008,1642
1853,-79.4642,-117.444,3032,1639
1854,-79.4677,-117.5392,2993,1636
1855,-79.4744,-117.6309,2930,1632
1856,-79.4778,-117.7261,2870,1629
1857,-79.4861,-117.8178,2780,1624
1858,-79.4895,-117.9046,2690,1617
1859,-79.4962,-117.9964,2646,1609
1860,-79.4996,-118.0882,2677,1602
1861,-79.508,-118.19,,1598
1862,-79.5114,-118.2801,,1595
1863,-79.5148,-118.3753,,1592
1864,-79.5215,-118.4737,,1589
