CBD,LAT,LON,THK,SRF
1030.6,-84.0521,-44.3328,1496,1169
1030.8,-84.0521,-44.3076,1496,1167
1031,-84.0521,-44.2827,1502,1162
1031.2,-84.0521,-44.2527,1508,1172
1031.4,-84.0521,-44.2244,1496,1171
1031.6,-84.0521,-44.1943,1501,1171
1031.8,-84.0521,-44.1509,1513,1172
1032,-84.0572,-44.1502,1520,1173
1032.2,-84.0572,-44.1104,1539,1173
1032.4,-84.0572,-44.0852,1540,1173
1032.6,-84.0572,-44.0735,1525,1172
1032.8,-84.0572,-44.0352,1521,1172
1033,-84.0605,-44.0064,1514,1172
1033.2,-84.0605,-43.9797,1517,1171
1033.4,-84.0605,-43.9514,1514,1171
1033.6,-84.0622,-43.9211,1503,1171
1033.8,-84.0606,-43.9097,1512,1169
1034,-84.0623,-43.8779,1525,1169
1034.2,-84.0623,-43.8496,1521,1167
1034.4,-84.0673,-43.8289,1503,1167
1034.6,-84.0673,-43.8054,1489,1167
1034.8,-84.0673,-43.782,1488,1166
1035,-84.0673,-43.7571,1482,1166
1035.2,-84.0673,-43.7271,1462,1165
1035.4,-84.069,-43.7019,1464,1164
1035.6,-84.069,-43.6785,1475,1164
1035.8,-84.069,-43.6602,1481,1163
1036,-84.0724,-43.6248,1486,1162
1036.2,-84.0691,-43.6118,1479,1162
1036.4,-84.0724,-43.5796,1477,1161
1036.6,-84.0724,-43.5447,1475,1162
1036.8,-84.0724,-43.5396,1483,1160
1037,-84.0724,-43.5081,1402,1160
1037.2,-84.0725,-43.4846,1355,1159
1037.4,-84.0725,-43.4729,1340,1156
1037.6,-84.0758,-43.4407,1333,1155
1037.8,-84.0758,-43.4058,1344,1153
1038,-84.0759,-43.3857,1358,1151
1038.2,-84.0759,-43.3691,1370,1148
1038.4,-84.0809,-43.3501,1381,1146
1038.6,-84.0759,-43.3257,1385,1143
1038.8,-84.0809,-43.3018,1372,1141
1039,-84.0809,-43.2717,1336,1137
1039.2,-84.0826,-43.2647,1336,1135
1039.4,-84.0826,-43.2332,1359,1132
1039.6,-84.0827,-43.2097,1385,1128
1039.8,-84.086,-43.1909,1403,1126
1040,-84.086,-43.1658,1441,1123
1040.2,-84.086,-43.1426,1512,1121
1040.4,-84.0861,-43.1174,1427,1118
1040.6,-84.0861,-43.0942,1390,1116
1040.8,-84.0878,-43.0706,1379,1112
1041,-84.0878,-43.0588,1416,1110
1041.2,-84.0878,-43.0322,1484,1107
1041.4,-84.0878,-42.9956,1491,1105
1041.6,-84.0912,-42.99,1503,1103
1041.8,-84.0912,-42.9668,1489,1100
1042,-84.0945,-42.9346,1475,1099
1042.2,-84.0945,-42.9111,1486,1096
1042.4,-84.0962,-42.8909,1425,1093
1042.6,-84.0962,-42.8608,1401,1091
1042.8,-84.0963,-42.856,1400,1089
1043,-84.0963,-42.8308,1376,1089
1043.2,-84.0979,-42.7922,1338,1087
1043.4,-84.098,-42.7874,1325,1085
1043.6,-84.098,-42.7507,1300,1083
1043.8,-84.0997,-42.7271,1274,1082
1044,-84.0997,-42.707,1263,1082
1044.2,-84.103,-42.6831,1248,1081
1044.4,-84.1031,-42.6631,1232,1081
1044.6,-84.1031,-42.6465,1280,1082
1044.8,-84.1047,-42.6079,1310,1083
1045,-84.1064,-42.5842,1351,1084
1045.2,-84.1064,-42.5676,1362,1085
1045.4,-84.1048,-42.5527,1360,1086
1045.6,-84.1064,-42.511,1366,1088
1045.8,-84.1065,-42.4993,1378,1087
1046,-84.1065,-42.4692,1374,1087
1046.2,-84.1065,-42.4358,1365,1087
1046.4,-84.1065,-42.4226,1366,1086
1046.6,-84.1082,-42.3923,1370,1087
1046.8,-84.1082,-42.3555,1337,1087
1047,-84.1082,-42.3472,1283,1087
1047.2,-84.1066,-42.3208,1184,1088
1047.4,-84.1082,-42.2754,1119,1088
1047.6,-84.1083,-42.2654,1078,1089
1047.8,-84.1099,-42.2285,1058,1091
1048,-84.1099,-42.1968,1071,1094
1048.2,-84.1149,-42.1711,1125,1097
1048.4,-84.1149,-42.1477,1132,1101
1048.6,-84.1149,-42.1043,1203,1104
1048.8,-84.1149,-42.0842,1316,1107
1049,-84.115,-42.061,1325,1111
1049.2,-84.1166,-42.0073,1306,1115
1049.4,-84.1183,-41.9919,1298,1117
1049.6,-84.1183,-41.957,1284,1119
1049.8,-84.12,-41.9316,1266,1122
1050,-84.12,-41.9116,1293,1126
1050.2,-84.1183,-41.8835,1308,1131
1050.4,-84.12,-41.8516,1301,1134
1050.6,-84.12,-41.8267,1294,1137
1050.8,-84.1217,-41.7964,1301,1139
1051,-84.1217,-41.7712,1226,1142
1051.2,-84.1234,-41.7527,1177,1144
1051.4,-84.1234,-41.7161,1176,1146
1051.6,-84.1234,-41.6794,1239,1149
1051.8,-84.1234,-41.6609,1327,1151
1052,-84.1267,-41.6238,1380,1153
1052.2,-84.1284,-41.5901,1467,1155
1052.4,-84.1284,-41.5669,1451,1156
1052.6,-84.1301,-41.5349,1473,1157
1052.8,-84.1301,-41.5115,1513,1159
