CBD,LAT,LON,THK,SRF
761,-69.5031,150.5813,2282,1100
762,-69.51691,150.5564,2343,1123
763,-69.5361,150.5232,2394,1150
764,-69.5513,150.4968,2390,1156
765,-69.56641,150.4691,2429,1178
766,-69.5815,150.4442,2483,1189
767,-69.59801,150.4179,2525,1194
768,-69.6131,150.3888,2545,1196
769,-69.62691,150.3611,2618,1195
770,-69.6434,150.3362,2585,1201
771,-69.65849,150.3099,2534,1197
772,-69.6763,150.2781,2438,1212
773,-69.6915,150.2476,2231,1214
774,-69.7079,150.2213,2222,1255
775,-69.7231,150.195,2445,1267
776,-69.7368,150.1659,2957,1290
777,-69.7533,150.1423,2871,1292
778,-69.7684,150.1146,2867,1291
779,-69.7836,150.0924,2772,1276
780,-69.80009,150.0661,2637,1275
781,-69.8165,150.0357,2326,1290
782,-69.8331,150.008,2363,1308
783,-69.84821,149.9817,2775,1338
784,-69.86189,149.9553,2783,1339
785,-69.8784,149.9304,2794,1355
786,-69.89349,149.8999,2796,1361
787,-69.90871,149.8736,2699,1373
788,-69.9238,149.8446,2655,1386
789,-69.94031,149.8182,2641,1394
790,-69.9554,149.7919,2636,1403
791,-69.9705,149.7655,2580,1409
792,-69.987,149.7378,2605,1415
793,-70.00211,149.7074,2685,1436
794,-70.0159,149.6825,2701,1447
795,-70.03101,149.6534,2713,1469
796,-70.0475,149.6243,2646,1470
797,-70.0612,149.5966,2622,1472
798,-70.075,149.5648,,
799,-70.09151,149.5412,2737,1489
800,-70.10519,149.5094,2778,1509
801,-70.119,149.4748,2823,1503
802,-70.12579,149.4211,2839,1508
803,-70.119,149.3632,2814,1512
804,-70.10519,149.3205,2711,1510
805,-70.086,149.3026,2509,1494
806,-70.0641,149.3149,2557,1479
807,-70.049,149.3547,2673,1470
808,-70.04359,149.4068,2702,1459
809,-70.0491,149.4588,2641,1456
810,-70.0602,149.4999,2647,1452
811,-70.0685,149.5368,2673,1454
813,-70.0864,149.6189,2728,1475
814,-70.0974,149.664,2728,1473
815,-70.1044,149.7092,2683,1476
816,-70.1154,149.7571,2741,1479
817,-70.1237,149.7996,2804,1481
818,-70.132,149.8434,2866,1480
820,-70.1499,149.9323,2214,1490
821,-70.15961,149.9775,2450,1492
822,-70.16789,150.0226,2609,1494
823,-70.1748,150.0665,2501,1493
824,-70.1859,150.1075,2548,1500
825,-70.19141,150.1582,2586,1506
826,-70.2038,150.1992,2578,1507
827,-70.21069,150.243,2276,1502
828,-70.21899,150.2868,2009,1501
829,-70.22729,150.3306,2096,1502
830,-70.2356,150.373,2217,1497
831,-70.24519,150.4169,2167,1500
832,-70.2522,150.4565,2167,1502
833,-70.2605,150.4962,1851,1504
834,-70.2688,150.5482,1897,1497
835,-70.27699,150.5852,1969,1502
836,-70.28529,150.6303,2083,1510
837,-70.2923,150.6727,2093,1518
838,-70.3019,150.7111,2158,1521
839,-70.3075,150.7548,2076,1524
840,-70.31709,150.7959,1934,1535
841,-70.32539,150.8383,1817,1546
842,-70.33369,150.8808,1989,1556
843,-70.34061,150.9232,1990,1558
844,-70.34891,150.9656,1918,1556
845,-70.3586,151.008,1905,1550
846,-70.36411,151.0532,1846,1556
847,-70.37241,151.0915,2236,1556
848,-70.38071,151.1367,2305,1552
849,-70.38901,151.1819,2243,1550
850,-70.39729,151.227,2162,1550
851,-70.40559,151.2667,2337,1559
852,-70.41251,151.3133,2271,1566
853,-70.42081,151.3529,2288,1561
854,-70.42909,151.3981,1784,1563
855,-70.43739,151.4378,1913,1567
856,-70.44701,151.4774,1937,1570
857,-70.4539,151.524,2046,1566
858,-70.4623,151.5637,1943,1565
859,-70.4705,151.6048,1976,1563
860,-70.47881,151.6486,1902,1572
861,-70.48711,151.6951,1893,1575
862,-70.4968,151.7375,1973,1577
863,-70.50369,151.7827,2117,1577
864,-70.51199,151.8224,2116,1580
865,-70.5217,151.8648,2189,1585
866,-70.52859,151.9059,2355,1588
867,-70.53551,151.9497,2447,1585
868,-70.54379,151.9935,2430,1581
869,-70.5507,152.0304,2505,1598
870,-70.55901,152.0756,2339,1594
871,-70.56731,152.1166,1821,1594
872,-70.57561,152.1632,1958,1595
873,-70.5825,152.2042,2060,1600
874,-70.5894,152.2522,2071,1613
875,-70.5977,152.296,1995,1619
876,-70.60741,152.3425,2101,1612
877,-70.6143,152.3932,2105,1617
878,-70.6226,152.4384,2102,1612
879,-70.63091,152.4905,2081,1606
880,-70.64059,152.5383,1909,1624
881,-70.65021,152.5849,1962,1631
882,-70.65849,152.6273,2001,1646
883,-70.6682,152.6711,2222,1648
884,-70.6765,152.7191,1853,1657
885,-70.6834,152.7656,2317,1658
886,-70.6918,152.8149,2334,1655
887,-70.6987,152.8601,2271,1646
888,-70.7056,152.9163,2119,1642
889,-70.7139,152.9615,2038,1636
890,-70.7222,153.0094,1961,1645
891,-70.7305,153.0559,1992,1665
892,-70.7374,153.1039,2102,1688
893,-70.7457,153.1505,2156,1694
894,-70.75259,153.1983,2327,1693
895,-70.75951,153.2449,2155,1692
896,-70.76781,153.2928,2262,1701
897,-70.7748,153.3449,2442,1711
898,-70.78439,153.3887,2516,1714
899,-70.7914,153.4366,2477,1720
900,-70.7997,153.4859,2508,1716
901,-70.80791,153.5312,2508,1723
904,-70.8315,153.6694,2607,1740
905,-70.8398,153.716,2708,1745
906,-70.8481,153.7681,2747,1742
907,-70.8564,153.8159,2748,1733
908,-70.866,153.8625,2793,1726
909,-70.873,153.9118,2753,1728
910,-70.8813,153.957,2757,1735
911,-70.8896,154.0049,2741,1737
912,-70.8979,154.0515,2810,1743
913,-70.9034,154.1049,2793,1740
914,-70.91029,154.1515,2760,1743
915,-70.9187,154.2063,2788,1747
916,-70.9256,154.257,2796,1751
917,-70.9339,154.3091,2824,1759
918,-70.9408,154.3584,2771,1761
919,-70.94769,154.4049,3027,1769
920,-70.95599,154.4529,2830,1779
921,-70.96159,154.5063,2758,1789
922,-70.96989,154.5556,2607,1660
923,-70.9782,154.6035,2883,1665
924,-70.9865,154.6597,2711,1670
925,-70.992,154.7104,2767,1806
926,-70.99899,154.7598,2925,1801
927,-71.00591,154.8077,2871,1801
928,-71.01421,154.8583,2853,1802
929,-71.0211,154.9104,2823,1806
930,-71.02811,154.9597,2804,1802
931,-71.03641,155.009,2578,1810
932,-71.0433,155.0611,2708,1826
933,-71.05161,155.1145,2646,1834
934,-71.05991,155.1639,2681,1840
935,-71.0668,155.2159,2701,1838
936,-71.0737,155.2694,2595,1835
937,-71.08211,155.3187,2408,1832
939,-71.09731,155.4201,2333,1868
940,-71.1042,155.4708,2359,1875
941,-71.1111,155.52,2320,1865
942,-71.1194,155.5776,2364,1881
943,-71.1277,155.6283,2898,1894
944,-71.1333,155.6817,2998,1895
945,-71.1416,155.7311,3077,1898
946,-71.1485,155.7818,3050,1886
947,-71.1568,155.8352,2889,1878
948,-71.1624,155.8873,2610,1896
949,-71.1707,155.9366,2741,1893
950,-71.1776,155.9887,2770,1903
951,-71.1859,156.0475,2835,1906
952,-71.1915,156.1038,2695,1904
953,-71.1998,156.1572,2441,1909
954,-71.2081,156.212,2386,1922
955,-71.215,156.2696,2767,1930
956,-71.222,156.3258,2739,1934
957,-71.2289,156.3765,2626,1931
958,-71.2386,156.4299,2569,1937
959,-71.2455,156.4875,2320,1945
960,-71.2552,156.5451,2326,1966
961,-71.2635,156.5943,2316,1970
962,-71.2704,156.6478,2538,1979
963,-71.2787,156.6999,2489,1977
964,-71.28841,156.7533,2328,1985
965,-71.29671,156.8067,2386,1987
966,-71.3037,156.8574,2514,1990
967,-71.312,156.9081,2612,1985
968,-71.31889,156.9657,2622,1994
969,-71.32719,157.0205,2650,1990
970,-71.33549,157.0739,2645,1994
971,-71.34241,157.1288,2536,1986
972,-71.3494,157.1877,2281,1986
973,-71.35629,157.2398,2460,1997
974,-71.36459,157.2905,2502,2001
975,-71.37151,157.3453,2354,2009
976,-71.3799,157.4001,2293,2018
977,-71.3868,157.4563,2573,2024
978,-71.39371,157.5139,2586,2026
979,-71.4007,157.5659,2323,2023
980,-71.409,157.6235,2325,2029
981,-71.4173,157.6783,2239,2032
982,-71.42419,157.7332,2046,2039
983,-71.4312,157.788,1592,2043
984,-71.4381,157.8428,1746,2052
985,-71.4436,157.8963,1682,2056
986,-71.45329,157.9511,2265,2060
987,-71.46159,158.01,1556,2066
988,-71.4686,158.0649,1745,2076
989,-71.47549,158.1211,1965,2089
990,-71.4838,158.1759,1835,2095
991,-71.4921,158.2321,1992,2105
992,-71.4977,158.2897,1872,2105
993,-71.50459,158.3403,1464,2115
994,-71.51289,158.3979,1811,2116
995,-71.51849,158.4542,1738,2122
996,-71.5282,158.5158,1683,2118
997,-71.5365,158.5665,1123,2126
998,-71.5421,158.6282,1662,2135
999,-71.5517,158.6803,1355,2143
1000,-71.5587,158.7379,1885,2143
1001,-71.5656,158.7927,2307,2142
1002,-71.57249,158.8503,2966,2139
1004,-71.5878,158.9586,2428,2130
1006,-71.61259,159.0503,1973,2137
1007,-71.63049,159.0734,1989,2127
1008,-71.64841,159.0938,2195,2111
1009,-71.6664,159.121,2110,2099
1010,-71.6828,159.1401,2413,2087
1011,-71.7007,159.1604,2807,2082
1012,-71.72,159.1602,2216,2087
1013,-71.7379,159.1434,1987,2089
1014,-71.7585,159.1033,1676,2094
1015,-71.77229,159.0672,799,2102
1016,-71.7888,159.0299,1352,2109
1017,-71.80521,158.9966,1113,2105
1018,-71.8204,158.9579,897,2131
1019,-71.83549,158.9191,955,2122
1020,-71.85471,158.8941,1860,2124
1021,-71.8754,158.8732,1089,2122
1022,-71.8932,158.8508,954,2146
1023,-71.91521,158.8258,1572,2124
1024,-71.93449,158.8022,1689,2130
1025,-71.95509,158.7826,2000,2131
1026,-71.97301,158.759,2231,2137
1027,-71.995,158.7408,1820,2146
1028,-72.0128,158.7213,1045,2162
1029,-72.0307,158.7017,1390,2168
1030,-72.0513,158.6781,2205,2167
1032,-72.0898,158.6349,1969,2176
1033,-72.1077,158.6167,1759,2183
1034,-72.1256,158.5944,2336,2197
1036,-72.16409,158.5582,2570,2205
1037,-72.18201,158.5358,2393,2207
1038,-72.19991,158.5163,2618,2203
1039,-72.2191,158.4982,2744,2201
1040,-72.237,158.491,2585,2206
1041,-72.2576,158.481,2564,2216
1042,-72.27409,158.4574,2434,2217
1043,-72.29201,158.4338,2326,2215
1044,-72.30991,158.4032,2536,2218
1045,-72.3277,158.3823,2432,2213
1046,-72.34419,158.3614,2372,2210
1047,-72.36211,158.3322,2162,2216
1048,-72.3786,158.3072,2588,2221
1050,-72.4157,158.2516,2463,2222
1051,-72.43359,158.2266,2447,2227
1052,-72.4501,158.2016,2675,2233
1053,-72.4666,158.171,2289,2229
1054,-72.48309,158.1432,2430,2231
1055,-72.50101,158.1167,473,2227
1056,-72.5188,158.089,2867,2232
1057,-72.5367,158.0571,2545,2231
1058,-72.55321,158.0279,2635,2244
1059,-72.571,157.9987,2715,2241
1060,-72.5889,157.9723,2715,2243
1061,-72.60539,157.9445,2874,2229
1063,-72.6398,157.9012,2471,2260
1064,-72.6563,157.8776,3198,2271
1065,-72.67281,157.8525,3215,2252
1066,-72.6879,157.8357,3122,2236
1067,-72.70441,157.8107,2978,2243
1068,-72.72231,157.7856,3063,2240
1069,-72.7402,157.7633,2663,2230
1070,-72.7567,157.7425,2727,2229
1071,-72.77319,157.7242,2818,2248
1072,-72.7897,157.7047,2645,2236
1073,-72.8089,157.6851,2712,2235
1074,-72.8268,157.6669,2630,2238
1075,-72.8447,157.6405,2563,2238
1076,-72.8625,157.6155,2673,2244
1077,-72.8804,157.5835,2493,2238
1078,-72.8969,157.5585,2768,2235
1079,-72.91479,157.532,2828,2232
1080,-72.9313,157.5098,2630,2226
1081,-72.9492,157.4819,2766,2224
1082,-72.9657,157.4568,2796,2218
1083,-72.9821,157.4277,2804,2216
1084,-72.9986,157.4012,2638,2218
1085,-73.01379,157.3776,2469,2215
1086,-73.0316,157.3553,2401,2214
1087,-73.0481,157.3302,2684,2208
1088,-73.06599,157.3024,2549,2208
1089,-73.0825,157.2773,2612,2206
1090,-73.0976,157.2523,2628,2204
1091,-73.11411,157.2258,2420,2200
1092,-73.1306,157.2036,2446,2186
1093,-73.1485,157.1771,2238,2172
1094,-73.1636,157.1506,2278,2224
1095,-73.1828,157.1227,2535,2180
1096,-73.2007,157.0991,2594,2171
1097,-73.22,157.0712,2530,2168
1098,-73.2365,157.0462,2750,2170
1099,-73.2543,157.0169,2706,2172
1100,-73.2708,156.9919,2721,2175
