CBD,LAT,LON,THK,SRF
567,-76.77541,102.4209,4048,3534.65
568,-76.7823,102.3113,4077,3529
569,-76.7878,102.2178,4106,3523
570,-76.79201,102.1245,4079,3520
571,-76.80029,102.0308,4106,3521
572,-76.8044,101.9292,3930,3519
573,-76.81,101.832,3754,3516
574,-76.8141,101.729,3578,3514
575,-76.8196,101.6343,3720,3522
576,-76.8224,101.5396,3700,3530
577,-76.8266,101.4297,3641,3533
578,-76.8335,101.3308,3706,3536
579,-76.8376,101.2361,3730,3534
580,-76.8418,101.1331,3630,3537
581,-76.8474,101.0356,3527,3541
582,-76.8515,100.9368,3451,3550
583,-76.8557,100.8337,3170,3550
584,-76.8625,100.7444,3201,3554
585,-76.86951,100.647,3054,3559
586,-76.8764,100.5386,3094,3566
587,-76.88049,100.4409,3173,3567
588,-76.886,100.3435,3073,3575
589,-76.8875,100.2405,3134,3582
590,-76.8916,100.1404,3037,3592
591,-76.8972,100.0415,3252,3602
592,-76.90131,99.9426,3208,3600
593,-76.9055,99.8423,3114,3600
594,-76.90961,99.7476,3020,3600
595,-76.91521,99.63229,3076,3605
596,-76.9193,99.532,3100,3607
597,-76.92349,99.43311,3141,3615
598,-76.929,99.3342,3166,3621
599,-76.9304,99.2341,2958,3623
600,-76.9346,99.13651,3122,3627
601,-76.93739,99.0349,3027,3626
602,-76.9402,98.9319,2935,3630
603,-76.94431,98.82739,2841,3623
604,-76.9485,98.7285,2711,3632
605,-76.95129,98.6228,2780,3642
606,-76.9541,98.51981,2849,3644
607,-76.9568,98.4182,2696,3646
608,-76.961,98.32201,2839,3653
609,-76.96519,98.22189,2880,3657
610,-76.9679,98.1216,3098,3662
611,-76.9707,98.02541,2766,3660
612,-76.9749,97.9155,2865,3665
613,-76.97771,97.8125,2612,3674
614,-76.9818,97.7151,3049,3683
615,-76.9846,97.60519,3078,3686
616,-76.9874,97.5132,2938,3684
617,-76.9902,97.40871,2656,3688
618,-76.9957,97.3071,2623,3692
619,-76.9958,97.2139,2501,3700
620,-77.0013,97.10519,2648,3707
621,-77.0027,97.0076,2467,3713
622,-77.00549,96.895,2625,3721
623,-77.0069,96.7935,2575,3725
624,-77.01241,96.6973,2482,3726
625,-77.0152,96.5957,2641,3728
626,-77.01801,96.49541,2654,3729
627,-77.0208,96.3979,2982,3735
628,-77.0222,96.29221,2768,3735
629,-77.0264,96.1877,2730,3732
630,-77.0278,96.0889,2520,3727
631,-77.03191,95.9805,2633,3725
632,-77.0361,95.8745,2468,3728
633,-77.0361,95.7771,2727,3738
634,-77.03889,95.6685,2737,3740
