Filenames,year,flightline,contains_two_flights,flipped_vert,cbd_start,cbd_end
DTU001_0000858_0000883_lowqual.jpg,1974,6,1,0,1591,1585
DTU001_0000884_0000909_lowqual.jpg,1974,6,0,0,1584,1567
DTU001_0000910_0000935_lowqual.jpg,1974,6,0,0,1566,1551
DTU001_0000936_0000961_lowqual.jpg,1974,6,0,0,1149,1135
DTU001_0000962_0000987_lowqual.jpg,1974,6,0,0,1134,1119
DTU001_0000988_0001013_lowqual.jpg,1974,6,0,0,1118,1103
DTU001_0001014_0001039_lowqual.jpg,1974,6,0,0,1102,1087
DTU001_0001040_0001065_lowqual.jpg,1974,6,0,0,1086,1071
DTU001_0001066_0001091_lowqual.jpg,1974,6,0,0,1070,1055
DTU001_0001092_0001117_lowqual.jpg,1974,6,0,0,1054,1039
DTU001_0001118_0001143_lowqual.jpg,1974,6,0,0,1038,1023
DTU001_0001144_0001169_lowqual.jpg,1974,6,0,0,1022,1007
DTU001_0001170_0001195_lowqual.jpg,1974,6,0,0,1006,991
DTU001_0001196_0001221_lowqual.jpg,1974,6,0,0,990,975
DTU001_0001222_0001247_lowqual.jpg,1974,6,0,0,974,959
DTU001_0001248_0001273_lowqual.jpg,1974,6,0,0,958,943
DTU001_0001274_0001299_lowqual.jpg,1974,6,0,0,942,927
DTU001_0001300_0001325_lowqual.jpg,1974,6,0,0,926,911
DTU001_0001326_0001351_lowqual.jpg,1974,6,0,0,910,895
DTU001_0001352_0001377_lowqual.jpg,1974,6,0,0,894,879
DTU001_0001378_0001403_lowqual.jpg,1974,6,0,0,878,863
DTU001_0001404_0001429_lowqual.jpg,1974,6,0,0,862,847
DTU001_0001430_0001455_lowqual.jpg,1974,6,0,0,846,831
DTU001_0001456_0001481_lowqual.jpg,1974,6,0,0,830,815
DTU001_0001482_0001507_lowqual.jpg,1974,6,0,0,814,799
DTU001_0001508_0001533_lowqual.jpg,1974,6,0,0,798,783
DTU001_0001534_0001559_lowqual.jpg,1974,6,0,0,782,767
DTU001_0001560_0001585_lowqual.jpg,1974,6,0,0,766,751
DTU001_0001586_0001611_lowqual.jpg,1974,6,0,0,750,735
DTU001_0001612_0001637_lowqual.jpg,1974,6,0,0,734,719
DTU001_0001638_0001663_lowqual.jpg,1974,6,0,0,718,703
DTU001_0001664_0001689_lowqual.jpg,1974,6,0,0,702,687
DTU001_0001690_0001715_lowqual.jpg,1974,6,0,0,686,671
DTU001_0001716_0001741_lowqual.jpg,1974,6,0,0,670,655
DTU001_0001742_0001767_lowqual.jpg,1974,6,0,0,654,639
DTU001_0001768_0001793_lowqual.jpg,1974,6,0,0,638,623
DTU001_0001794_0001819_lowqual.jpg,1974,6,0,0,622,607
DTU001_0001820_0001845_lowqual.jpg,1974,6,0,0,606,591
DTU001_0001846_0001871_lowqual.jpg,1974,6,0,0,590,575
DTU001_0001872_0001897_lowqual.jpg,1974,6,0,0,574,559
DTU001_0001898_0001923_lowqual.jpg,1974,6,0,0,558,543
DTU001_0001924_0001949_lowqual.jpg,1974,6,0,0,542,527
DTU001_0001950_0001975_lowqual.jpg,1974,6,0,0,526,511
DTU001_0001976_0002001_lowqual.jpg,1974,6,0,0,510,495
DTU001_0002002_0002027_lowqual.jpg,1974,6,0,0,494,479
DTU001_0002028_0002053_lowqual.jpg,1974,6,0,0,478,463
DTU001_0002054_0002079_lowqual.jpg,1974,6,0,0,462,447
DTU001_0002080_0002105_lowqual.jpg,1974,6,0,0,446,431
DTU001_0002106_0002131_lowqual.jpg,1974,6,0,0,430,415
DTU001_0002132_0002157_lowqual.jpg,1974,6,0,0,414,399
DTU001_0002158_0002183_lowqual.jpg,1974,6,0,0,398,383
DTU001_0002184_0002209_lowqual.jpg,1974,6,0,0,382,367
DTU001_0002210_0002235_lowqual.jpg,1974,6,0,0,366,351
DTU001_0002236_0002261_lowqual.jpg,1974,6,0,0,350,335
DTU001_0002262_0002287_lowqual.jpg,1974,6,0,0,334,319
DTU001_0002288_0002313_lowqual.jpg,1974,6,0,0,318,303
DTU001_0002314_0002339_lowqual.jpg,1974,6,0,0,302,287
DTU001_0002340_0002365_lowqual.jpg,1974,6,0,0,286,271
DTU001_0002366_0002391_lowqual.jpg,1974,6,0,0,270,255
DTU001_0002392_0002417_lowqual.jpg,1974,6,0,0,254,239
DTU001_0002418_0002443_lowqual.jpg,1974,6,0,0,238,223
DTU001_0002444_0002469_lowqual.jpg,1974,6,0,0,222,207
DTU001_0002470_0002495_lowqual.jpg,1974,6,0,0,206,191
DTU001_0002496_0002521_lowqual.jpg,1974,6,0,0,190,175
DTU001_0002522_0002547_lowqual.jpg,1974,6,0,0,174,159
DTU001_0002548_0002573_lowqual.jpg,1974,6,0,0,158,143
DTU001_0002574_0002599_lowqual.jpg,1974,6,0,0,142,127
DTU001_0002600_0002625_lowqual.jpg,1974,6,0,0,126,111
DTU001_0002626_0002651_lowqual.jpg,1974,6,1,0,97,97
