53,-68.731667,76.53,-88,NaN
55,-68.816667,76.526667,117,NaN
56,-68.866667,76.531667,-121,NaN
57,-68.926667,76.536667,-115,NaN
58,-68.961667,76.545,-114,NaN
59,-69.006667,76.556667,-106,NaN
60,-69.023333,76.568333,-103,NaN
61,-69.03,76.581667,-92,NaN
65,-69.035,76.638333,-90,NaN
67,-69.036667,76.67,-82,NaN
69,-69.033333,76.701667,383,NaN
70,-69.02,76.713333,459,NaN
71,-69.006667,76.724999,547,NaN
72,-68.968333,76.743333,491,NaN
73,-68.95,76.758333,454,NaN
74,-68.918333,76.771667,459,NaN
75,-68.881667,76.786667,476,NaN
76,-68.838333,76.8,573,NaN
77,-68.796667,76.816667,665,NaN
78,-68.768333,76.826667,695,NaN
79,-68.728333,76.84,827,NaN
80,-68.695,76.851667,892,NaN
81,-68.656667,76.865,883,NaN
82,-68.616667,76.881667,868,NaN
83,-68.581667,76.893333,840,NaN
84,-68.533333,76.906667,749,NaN
85,-68.5,76.916667,722,708
86,-68.458333,76.928333,765,679
87,-68.416667,76.943333,901,657
88,-68.383333,76.953333,924,758
39,-68.341667,76.966667,982,831
90,-68.305,76.98,17,675
91,-68.268333,76.993333,4,686
92,-68.213333,77.006667,1001,523
93,-68.181667,77.018333,995,625
94,-68.14,77.031667,990,611
98,-67.98,77.078333,712,NaN
99,-67.938333,77.091667,598,NaN
100,-67.92,77.105,400,NaN
104,-67.953333,77.168333,532,NaN
107,-67.986666,77.231666,-50,NaN
109,-68.008333,77.243333,361,NaN
110,-68.025,77.258333,524,NaN
111,-68.035,77.271667,593,NaN
112,-68.046667,77.286667,585,NaN
113,-68.053333,77.3,757,NaN
114,-68.065,77.316667,837,NaN
115,-68.078333,77.331667,865,NaN
116,-68.086667,77.345,662,NaN
117,-68.101667,77.361667,101,NaN
118,-68.111667,77.373333,-65,NaN
119,-68.123333,77.39,-61,NaN
120,-68.133333,77.406667,-62,NaN
121,-68.143333,77.42,-64,NaN
122,-68.153333,77.433333,-59,NaN
123,-68.163333,77.446666,-66,NaN
124,-68.126667,77.466667,-68,NaN
125,-68.12111167,77.48222267,-66,NaN
126,-68.106667,77.493333,-64,NaN
127,-68.1,77.511667,352,NaN
128,-68.09,77.526667,441,NaN
129,-68.08,77.545,588,NaN
